FIPS	State	County	Variable	pcnt_free_lunch
8043	Colorado	Fremont	pcnt_free_lunch	39
8045	Colorado	Garfield	pcnt_free_lunch	34
8047	Colorado	Gilpin	pcnt_free_lunch	22
8049	Colorado	Grand	pcnt_free_lunch	19
8051	Colorado	Gunnison	pcnt_free_lunch	18
8053	Colorado	Hinsdale	pcnt_free_lunch	14
8055	Colorado	Huerfano	pcnt_free_lunch	58
8057	Colorado	Jackson	pcnt_free_lunch	35
8059	Colorado	Jefferson	pcnt_free_lunch	25
8061	Colorado	Kiowa	pcnt_free_lunch	31
8063	Colorado	Kit Carson	pcnt_free_lunch	36
8065	Colorado	Lake	pcnt_free_lunch	53
8067	Colorado	La Plata	pcnt_free_lunch	23
8069	Colorado	Larimer	pcnt_free_lunch	24
8071	Colorado	Las Animas	pcnt_free_lunch	38
8073	Colorado	Lincoln	pcnt_free_lunch	29
8075	Colorado	Logan	pcnt_free_lunch	35
8077	Colorado	Mesa	pcnt_free_lunch	35
8079	Colorado	Mineral	pcnt_free_lunch	35
8081	Colorado	Moffat	pcnt_free_lunch	34
8083	Colorado	Montezuma	pcnt_free_lunch	46
8085	Colorado	Montrose	pcnt_free_lunch	47
8087	Colorado	Morgan	pcnt_free_lunch	50
8089	Colorado	Otero	pcnt_free_lunch	56
8091	Colorado	Ouray	pcnt_free_lunch	22
8093	Colorado	Park	pcnt_free_lunch	25
8095	Colorado	Phillips	pcnt_free_lunch	36
8097	Colorado	Pitkin	pcnt_free_lunch	13
8099	Colorado	Prowers	pcnt_free_lunch	52
8101	Colorado	Pueblo	pcnt_free_lunch	48
8103	Colorado	Rio Blanco	pcnt_free_lunch	20
8105	Colorado	Rio Grande	pcnt_free_lunch	45
8107	Colorado	Routt	pcnt_free_lunch	14
8109	Colorado	Saguache	pcnt_free_lunch	68
8111	Colorado	San Juan	pcnt_free_lunch	52
8113	Colorado	San Miguel	pcnt_free_lunch	18
8115	Colorado	Sedgwick	pcnt_free_lunch	14
8117	Colorado	Summit	pcnt_free_lunch	24
8119	Colorado	Teller	pcnt_free_lunch	25
8121	Colorado	Washington	pcnt_free_lunch	31
8123	Colorado	Weld	pcnt_free_lunch	38
8125	Colorado	Yuma	pcnt_free_lunch	40
9001	Connecticut	Fairfield	pcnt_free_lunch	27
9003	Connecticut	Hartford	pcnt_free_lunch	33
9005	Connecticut	Litchfield	pcnt_free_lunch	15
9007	Connecticut	Middlesex	pcnt_free_lunch	15
9009	Connecticut	New Haven	pcnt_free_lunch	36
9011	Connecticut	New London	pcnt_free_lunch	25
