FIPS	State	County	Variable	age_adjusted_premature_mortality
8097	Colorado	Pitkin	age_adjusted_premature_mortality	163.2
8099	Colorado	Prowers	age_adjusted_premature_mortality	457.8
8101	Colorado	Pueblo	age_adjusted_premature_mortality	418.6
8103	Colorado	Rio Blanco	age_adjusted_premature_mortality	289.1
8105	Colorado	Rio Grande	age_adjusted_premature_mortality	383.7
8107	Colorado	Routt	age_adjusted_premature_mortality	234.5
8109	Colorado	Saguache	age_adjusted_premature_mortality	345.9
8111	Colorado	San Juan	age_adjusted_premature_mortality	
8113	Colorado	San Miguel	age_adjusted_premature_mortality	149
8115	Colorado	Sedgwick	age_adjusted_premature_mortality	422.1
8117	Colorado	Summit	age_adjusted_premature_mortality	133.5
8119	Colorado	Teller	age_adjusted_premature_mortality	281.5
8121	Colorado	Washington	age_adjusted_premature_mortality	281.3
8123	Colorado	Weld	age_adjusted_premature_mortality	292.3
8125	Colorado	Yuma	age_adjusted_premature_mortality	292.6
9001	Connecticut	Fairfield	age_adjusted_premature_mortality	232.5
9003	Connecticut	Hartford	age_adjusted_premature_mortality	291.9
9005	Connecticut	Litchfield	age_adjusted_premature_mortality	262.6
9007	Connecticut	Middlesex	age_adjusted_premature_mortality	259.2
9009	Connecticut	New Haven	age_adjusted_premature_mortality	302.5
9011	Connecticut	New London	age_adjusted_premature_mortality	287.4
9013	Connecticut	Tolland	age_adjusted_premature_mortality	240
9015	Connecticut	Windham	age_adjusted_premature_mortality	327.6
10001	Delaware	Kent	age_adjusted_premature_mortality	405.2
10003	Delaware	New Castle	age_adjusted_premature_mortality	351.7
10005	Delaware	Sussex	age_adjusted_premature_mortality	350
11001	District of Columbia	District of Columbia	age_adjusted_premature_mortality	462.4
12001	Florida	Alachua	age_adjusted_premature_mortality	354.6
12003	Florida	Baker	age_adjusted_premature_mortality	494.8
12005	Florida	Bay	age_adjusted_premature_mortality	434.4
12007	Florida	Bradford	age_adjusted_premature_mortality	491
12009	Florida	Brevard	age_adjusted_premature_mortality	358.7
12011	Florida	Broward	age_adjusted_premature_mortality	317.4
12013	Florida	Calhoun	age_adjusted_premature_mortality	422.8
12015	Florida	Charlotte	age_adjusted_premature_mortality	332.2
12017	Florida	Citrus	age_adjusted_premature_mortality	433.6
12019	Florida	Clay	age_adjusted_premature_mortality	361.1
12021	Florida	Collier	age_adjusted_premature_mortality	238.4
12023	Florida	Columbia	age_adjusted_premature_mortality	483.4
12027	Florida	DeSoto	age_adjusted_premature_mortality	365.3
12029	Florida	Dixie	age_adjusted_premature_mortality	499.3
12031	Florida	Duval	age_adjusted_premature_mortality	440.8
12033	Florida	Escambia	age_adjusted_premature_mortality	451.4
12035	Florida	Flagler	age_adjusted_premature_mortality	316
12037	Florida	Franklin	age_adjusted_premature_mortality	400.2
12039	Florida	Gadsden	age_adjusted_premature_mortality	475.9
12041	Florida	Gilchrist	age_adjusted_premature_mortality	449.9
12043	Florida	Glades	age_adjusted_premature_mortality	345.8
12045	Florida	Gulf	age_adjusted_premature_mortality	402.8
12047	Florida	Hamilton	age_adjusted_premature_mortality	444.9
12049	Florida	Hardee	age_adjusted_premature_mortality	386
12051	Florida	Hendry	age_adjusted_premature_mortality	437.4
12053	Florida	Hernando	age_adjusted_premature_mortality	419.9
12055	Florida	Highlands	age_adjusted_premature_mortality	365.9
12057	Florida	Hillsborough	age_adjusted_premature_mortality	368.4
12059	Florida	Holmes	age_adjusted_premature_mortality	519
12061	Florida	Indian River	age_adjusted_premature_mortality	315.1
12063	Florida	Jackson	age_adjusted_premature_mortality	437.1
12065	Florida	Jefferson	age_adjusted_premature_mortality	414.3
12067	Florida	Lafayette	age_adjusted_premature_mortality	464.2
12069	Florida	Lake	age_adjusted_premature_mortality	348.5
12071	Florida	Lee	age_adjusted_premature_mortality	295.1
12073	Florida	Leon	age_adjusted_premature_mortality	317.7
12075	Florida	Levy	age_adjusted_premature_mortality	453.9
12077	Florida	Liberty	age_adjusted_premature_mortality	438
12079	Florida	Madison	age_adjusted_premature_mortality	469.5
12081	Florida	Manatee	age_adjusted_premature_mortality	332.5
12083	Florida	Marion	age_adjusted_premature_mortality	394.4
12085	Florida	Martin	age_adjusted_premature_mortality	289.3
12086	Florida	Miami-Dade	age_adjusted_premature_mortality	292.3
12087	Florida	Monroe	age_adjusted_premature_mortality	374.6
12089	Florida	Nassau	age_adjusted_premature_mortality	379.9
12091	Florida	Okaloosa	age_adjusted_premature_mortality	365.3
12093	Florida	Okeechobee	age_adjusted_premature_mortality	471.7
12095	Florida	Orange	age_adjusted_premature_mortality	322.3
12097	Florida	Osceola	age_adjusted_premature_mortality	315.5
12099	Florida	Palm Beach	age_adjusted_premature_mortality	298.2
12101	Florida	Pasco	age_adjusted_premature_mortality	402.8
12103	Florida	Pinellas	age_adjusted_premature_mortality	386.4
12105	Florida	Polk	age_adjusted_premature_mortality	376.7
12107	Florida	Putnam	age_adjusted_premature_mortality	506
12109	Florida	St. Johns	age_adjusted_premature_mortality	285.7
12111	Florida	St. Lucie	age_adjusted_premature_mortality	345.5
12113	Florida	Santa Rosa	age_adjusted_premature_mortality	357.7
12115	Florida	Sarasota	age_adjusted_premature_mortality	300.9
12117	Florida	Seminole	age_adjusted_premature_mortality	295.2
12119	Florida	Sumter	age_adjusted_premature_mortality	311.1
12121	Florida	Suwannee	age_adjusted_premature_mortality	473.3
12123	Florida	Taylor	age_adjusted_premature_mortality	452.7
12125	Florida	Union	age_adjusted_premature_mortality	883.5
12127	Florida	Volusia	age_adjusted_premature_mortality	404.9
12129	Florida	Wakulla	age_adjusted_premature_mortality	374.2
12131	Florida	Walton	age_adjusted_premature_mortality	425.9
12133	Florida	Washington	age_adjusted_premature_mortality	519.1
13001	Georgia	Appling	age_adjusted_premature_mortality	549.1
13003	Georgia	Atkinson	age_adjusted_premature_mortality	523.5
13005	Georgia	Bacon	age_adjusted_premature_mortality	528.7
13007	Georgia	Baker	age_adjusted_premature_mortality	394.4
13009	Georgia	Baldwin	age_adjusted_premature_mortality	431.4
13011	Georgia	Banks	age_adjusted_premature_mortality	402.2
13013	Georgia	Barrow	age_adjusted_premature_mortality	410.8
13015	Georgia	Bartow	age_adjusted_premature_mortality	430.8
13017	Georgia	Ben Hill	age_adjusted_premature_mortality	519.6
