FIPS	State	County	Variable	infant_mortality_rate
9009	Connecticut	New Haven	infant_mortality_rate	731.8
9011	Connecticut	New London	infant_mortality_rate	557.3
9013	Connecticut	Tolland	infant_mortality_rate	545.9
9015	Connecticut	Windham	infant_mortality_rate	562.5
10001	Delaware	Kent	infant_mortality_rate	653.2
10003	Delaware	New Castle	infant_mortality_rate	933.7
10005	Delaware	Sussex	infant_mortality_rate	712
11001	District of Columbia	District of Columbia	infant_mortality_rate	1254.8
12001	Florida	Alachua	infant_mortality_rate	952.5
12003	Florida	Baker	infant_mortality_rate	1130.9
12005	Florida	Bay	infant_mortality_rate	735.3
12007	Florida	Bradford	infant_mortality_rate	747.9
12009	Florida	Brevard	infant_mortality_rate	686.6
12011	Florida	Broward	infant_mortality_rate	639.5
12013	Florida	Calhoun	infant_mortality_rate	
12015	Florida	Charlotte	infant_mortality_rate	447.7
12017	Florida	Citrus	infant_mortality_rate	521.6
12019	Florida	Clay	infant_mortality_rate	530.9
12021	Florida	Collier	infant_mortality_rate	661.1
12023	Florida	Columbia	infant_mortality_rate	1078.5
12027	Florida	DeSoto	infant_mortality_rate	540.1
12029	Florida	Dixie	infant_mortality_rate	
12031	Florida	Duval	infant_mortality_rate	994.5
12033	Florida	Escambia	infant_mortality_rate	994.1
12035	Florida	Flagler	infant_mortality_rate	530.9
12037	Florida	Franklin	infant_mortality_rate	
12039	Florida	Gadsden	infant_mortality_rate	1214.1
12041	Florida	Gilchrist	infant_mortality_rate	
12043	Florida	Glades	infant_mortality_rate	
12045	Florida	Gulf	infant_mortality_rate	
12047	Florida	Hamilton	infant_mortality_rate	1839.7
12049	Florida	Hardee	infant_mortality_rate	1147.3
12051	Florida	Hendry	infant_mortality_rate	684.9
12053	Florida	Hernando	infant_mortality_rate	583.6
12055	Florida	Highlands	infant_mortality_rate	762.9
12057	Florida	Hillsborough	infant_mortality_rate	874.3
12059	Florida	Holmes	infant_mortality_rate	903.1
12061	Florida	Indian River	infant_mortality_rate	732.1
12063	Florida	Jackson	infant_mortality_rate	862.4
12065	Florida	Jefferson	infant_mortality_rate	
12067	Florida	Lafayette	infant_mortality_rate	
12069	Florida	Lake	infant_mortality_rate	705.7
12071	Florida	Lee	infant_mortality_rate	606.7
12073	Florida	Leon	infant_mortality_rate	914.8
12075	Florida	Levy	infant_mortality_rate	641.3
12077	Florida	Liberty	infant_mortality_rate	
12079	Florida	Madison	infant_mortality_rate	850.1
12081	Florida	Manatee	infant_mortality_rate	791
12083	Florida	Marion	infant_mortality_rate	898.9
12085	Florida	Martin	infant_mortality_rate	469.5
12086	Florida	Miami-Dade	infant_mortality_rate	601.2
12087	Florida	Monroe	infant_mortality_rate	556.6
12089	Florida	Nassau	infant_mortality_rate	708.2
12091	Florida	Okaloosa	infant_mortality_rate	816.1
12093	Florida	Okeechobee	infant_mortality_rate	692.4
12095	Florida	Orange	infant_mortality_rate	847.2
12097	Florida	Osceola	infant_mortality_rate	879.7
12099	Florida	Palm Beach	infant_mortality_rate	618.4
12101	Florida	Pasco	infant_mortality_rate	623.6
12103	Florida	Pinellas	infant_mortality_rate	880.9
12105	Florida	Polk	infant_mortality_rate	772.9
12107	Florida	Putnam	infant_mortality_rate	787.9
12109	Florida	St. Johns	infant_mortality_rate	486.1
12111	Florida	St. Lucie	infant_mortality_rate	712.3
12113	Florida	Santa Rosa	infant_mortality_rate	616.8
12115	Florida	Sarasota	infant_mortality_rate	445.6
12117	Florida	Seminole	infant_mortality_rate	725
12119	Florida	Sumter	infant_mortality_rate	633.4
12121	Florida	Suwannee	infant_mortality_rate	1104.8
12123	Florida	Taylor	infant_mortality_rate	972.1
12125	Florida	Union	infant_mortality_rate	
12127	Florida	Volusia	infant_mortality_rate	750.3
12129	Florida	Wakulla	infant_mortality_rate	763.8
12131	Florida	Walton	infant_mortality_rate	729.9
12133	Florida	Washington	infant_mortality_rate	
13001	Georgia	Appling	infant_mortality_rate	1037.8
13003	Georgia	Atkinson	infant_mortality_rate	
13005	Georgia	Bacon	infant_mortality_rate	
13007	Georgia	Baker	infant_mortality_rate	
13009	Georgia	Baldwin	infant_mortality_rate	524.7
13011	Georgia	Banks	infant_mortality_rate	939.4
13013	Georgia	Barrow	infant_mortality_rate	490.3
13015	Georgia	Bartow	infant_mortality_rate	718.9
13017	Georgia	Ben Hill	infant_mortality_rate	753.9
13019	Georgia	Berrien	infant_mortality_rate	921.7
13021	Georgia	Bibb	infant_mortality_rate	1465.6
13023	Georgia	Bleckley	infant_mortality_rate	
13025	Georgia	Brantley	infant_mortality_rate	
13027	Georgia	Brooks	infant_mortality_rate	906.8
13029	Georgia	Bryan	infant_mortality_rate	676.4
13031	Georgia	Bulloch	infant_mortality_rate	710.4
13033	Georgia	Burke	infant_mortality_rate	1077.7
13035	Georgia	Butts	infant_mortality_rate	1135.6
13037	Georgia	Calhoun	infant_mortality_rate	
13039	Georgia	Camden	infant_mortality_rate	575
13043	Georgia	Candler	infant_mortality_rate	
13045	Georgia	Carroll	infant_mortality_rate	669.6
13047	Georgia	Catoosa	infant_mortality_rate	638.7
13049	Georgia	Charlton	infant_mortality_rate	1897.8
13051	Georgia	Chatham	infant_mortality_rate	1029.4
13053	Georgia	Chattahoochee	infant_mortality_rate	
13055	Georgia	Chattooga	infant_mortality_rate	623.1
13057	Georgia	Cherokee	infant_mortality_rate	498
13059	Georgia	Clarke	infant_mortality_rate	556.2
13061	Georgia	Clay	infant_mortality_rate	
13063	Georgia	Clayton	infant_mortality_rate	835.7
13065	Georgia	Clinch	infant_mortality_rate	
13067	Georgia	Cobb	infant_mortality_rate	704.4
13069	Georgia	Coffee	infant_mortality_rate	950.9
13071	Georgia	Colquitt	infant_mortality_rate	721.8
13073	Georgia	Columbia	infant_mortality_rate	722.4
13075	Georgia	Cook	infant_mortality_rate	1056.3
13077	Georgia	Coweta	infant_mortality_rate	359.1
13079	Georgia	Crawford	infant_mortality_rate	
13081	Georgia	Crisp	infant_mortality_rate	1109.8
13083	Georgia	Dade	infant_mortality_rate	
13085	Georgia	Dawson	infant_mortality_rate	
13087	Georgia	Decatur	infant_mortality_rate	751.5
13089	Georgia	DeKalb	infant_mortality_rate	756.6
13091	Georgia	Dodge	infant_mortality_rate	980.4
13093	Georgia	Dooly	infant_mortality_rate	
13095	Georgia	Dougherty	infant_mortality_rate	1170
13097	Georgia	Douglas	infant_mortality_rate	730.8
13099	Georgia	Early	infant_mortality_rate	1418.4
13101	Georgia	Echols	infant_mortality_rate	
13103	Georgia	Effingham	infant_mortality_rate	795.5
13105	Georgia	Elbert	infant_mortality_rate	
13107	Georgia	Emanuel	infant_mortality_rate	1042.9
13109	Georgia	Evans	infant_mortality_rate	
13111	Georgia	Fannin	infant_mortality_rate	
13113	Georgia	Fayette	infant_mortality_rate	481.8
13115	Georgia	Floyd	infant_mortality_rate	1247.9
13117	Georgia	Forsyth	infant_mortality_rate	295
13119	Georgia	Franklin	infant_mortality_rate	789.7
13121	Georgia	Fulton	infant_mortality_rate	839
13123	Georgia	Gilmer	infant_mortality_rate	626.4
13125	Georgia	Glascock	infant_mortality_rate	
13127	Georgia	Glynn	infant_mortality_rate	1013.5
13129	Georgia	Gordon	infant_mortality_rate	578.7
13131	Georgia	Grady	infant_mortality_rate	657.6
13133	Georgia	Greene	infant_mortality_rate	
13135	Georgia	Gwinnett	infant_mortality_rate	584
13137	Georgia	Habersham	infant_mortality_rate	487.1
13139	Georgia	Hall	infant_mortality_rate	710.3
13141	Georgia	Hancock	infant_mortality_rate	
13143	Georgia	Haralson	infant_mortality_rate	761.4
13145	Georgia	Harris	infant_mortality_rate	941.7
13147	Georgia	Hart	infant_mortality_rate	
13149	Georgia	Heard	infant_mortality_rate	
13151	Georgia	Henry	infant_mortality_rate	780.7
13153	Georgia	Houston	infant_mortality_rate	935
13155	Georgia	Irwin	infant_mortality_rate	
13157	Georgia	Jackson	infant_mortality_rate	785.2
13159	Georgia	Jasper	infant_mortality_rate	1226.3
13161	Georgia	Jeff Davis	infant_mortality_rate	
13163	Georgia	Jefferson	infant_mortality_rate	970.9
13165	Georgia	Jenkins	infant_mortality_rate	
13167	Georgia	Johnson	infant_mortality_rate	
13169	Georgia	Jones	infant_mortality_rate	571.4
13171	Georgia	Lamar	infant_mortality_rate	1074.3
13173	Georgia	Lanier	infant_mortality_rate	1128.7
13175	Georgia	Laurens	infant_mortality_rate	710
13177	Georgia	Lee	infant_mortality_rate	1126.9
13179	Georgia	Liberty	infant_mortality_rate	831.8
13181	Georgia	Lincoln	infant_mortality_rate	
13183	Georgia	Long	infant_mortality_rate	1034.7
13185	Georgia	Lowndes	infant_mortality_rate	1267.7
13187	Georgia	Lumpkin	infant_mortality_rate	
13189	Georgia	McDuffie	infant_mortality_rate	1051.2
13191	Georgia	McIntosh	infant_mortality_rate	
13193	Georgia	Macon	infant_mortality_rate	
13195	Georgia	Madison	infant_mortality_rate	583.8
13197	Georgia	Marion	infant_mortality_rate	
13199	Georgia	Meriwether	infant_mortality_rate	620.7
13201	Georgia	Miller	infant_mortality_rate	
13205	Georgia	Mitchell	infant_mortality_rate	723.1
13207	Georgia	Monroe	infant_mortality_rate	673.6
13209	Georgia	Montgomery	infant_mortality_rate	
13211	Georgia	Morgan	infant_mortality_rate	
13213	Georgia	Murray	infant_mortality_rate	441
13215	Georgia	Muscogee	infant_mortality_rate	1464.9
13217	Georgia	Newton	infant_mortality_rate	777.4
13219	Georgia	Oconee	infant_mortality_rate	
13221	Georgia	Oglethorpe	infant_mortality_rate	
13223	Georgia	Paulding	infant_mortality_rate	620.9
13225	Georgia	Peach	infant_mortality_rate	1381.2
13227	Georgia	Pickens	infant_mortality_rate	
13229	Georgia	Pierce	infant_mortality_rate	817.7
13231	Georgia	Pike	infant_mortality_rate	1371.3
13233	Georgia	Polk	infant_mortality_rate	625.8
13235	Georgia	Pulaski	infant_mortality_rate	
13237	Georgia	Putnam	infant_mortality_rate	781.8
13239	Georgia	Quitman	infant_mortality_rate	
13241	Georgia	Rabun	infant_mortality_rate	
13243	Georgia	Randolph	infant_mortality_rate	
13245	Georgia	Richmond	infant_mortality_rate	1234.2
13247	Georgia	Rockdale	infant_mortality_rate	682.2
13249	Georgia	Schley	infant_mortality_rate	
13251	Georgia	Screven	infant_mortality_rate	1482.2
13253	Georgia	Seminole	infant_mortality_rate	
13255	Georgia	Spalding	infant_mortality_rate	1057
13257	Georgia	Stephens	infant_mortality_rate	613.1
13259	Georgia	Stewart	infant_mortality_rate	
13261	Georgia	Sumter	infant_mortality_rate	462.8
13263	Georgia	Talbot	infant_mortality_rate	
13265	Georgia	Taliaferro	infant_mortality_rate	
