FIPS	State	County	Variable	homicide_rate
13315	Georgia	Wilcox	homicide_rate	
13317	Georgia	Wilkes	homicide_rate	
13319	Georgia	Wilkinson	homicide_rate	
13321	Georgia	Worth	homicide_rate	9
15001	Hawaii	Hawaii	homicide_rate	2
15003	Hawaii	Honolulu	homicide_rate	2
15005	Hawaii	Kalawao	homicide_rate	
15007	Hawaii	Kauai	homicide_rate	3
15009	Hawaii	Maui	homicide_rate	1
16001	Idaho	Ada	homicide_rate	2
16003	Idaho	Adams	homicide_rate	
16005	Idaho	Bannock	homicide_rate	
16007	Idaho	Bear Lake	homicide_rate	
16009	Idaho	Benewah	homicide_rate	
16011	Idaho	Bingham	homicide_rate	
16013	Idaho	Blaine	homicide_rate	
16015	Idaho	Boise	homicide_rate	
16017	Idaho	Bonner	homicide_rate	
16019	Idaho	Bonneville	homicide_rate	2
16021	Idaho	Boundary	homicide_rate	
16023	Idaho	Butte	homicide_rate	
16025	Idaho	Camas	homicide_rate	
16027	Idaho	Canyon	homicide_rate	3
16029	Idaho	Caribou	homicide_rate	
16031	Idaho	Cassia	homicide_rate	
16033	Idaho	Clark	homicide_rate	
16035	Idaho	Clearwater	homicide_rate	
16037	Idaho	Custer	homicide_rate	
16039	Idaho	Elmore	homicide_rate	
16041	Idaho	Franklin	homicide_rate	
16043	Idaho	Fremont	homicide_rate	
16045	Idaho	Gem	homicide_rate	
16047	Idaho	Gooding	homicide_rate	
16049	Idaho	Idaho	homicide_rate	
16051	Idaho	Jefferson	homicide_rate	
16053	Idaho	Jerome	homicide_rate	
16055	Idaho	Kootenai	homicide_rate	2
16057	Idaho	Latah	homicide_rate	
16059	Idaho	Lemhi	homicide_rate	
16061	Idaho	Lewis	homicide_rate	
16063	Idaho	Lincoln	homicide_rate	
16065	Idaho	Madison	homicide_rate	
16067	Idaho	Minidoka	homicide_rate	
16069	Idaho	Nez Perce	homicide_rate	
16071	Idaho	Oneida	homicide_rate	
16073	Idaho	Owyhee	homicide_rate	
16075	Idaho	Payette	homicide_rate	
16077	Idaho	Power	homicide_rate	
16079	Idaho	Shoshone	homicide_rate	
16081	Idaho	Teton	homicide_rate	
16083	Idaho	Twin Falls	homicide_rate	2
16085	Idaho	Valley	homicide_rate	
16087	Idaho	Washington	homicide_rate	
17001	Illinois	Adams	homicide_rate	3
17003	Illinois	Alexander	homicide_rate	
17005	Illinois	Bond	homicide_rate	
17007	Illinois	Boone	homicide_rate	
17009	Illinois	Brown	homicide_rate	
17011	Illinois	Bureau	homicide_rate	
17013	Illinois	Calhoun	homicide_rate	
17015	Illinois	Carroll	homicide_rate	
17017	Illinois	Cass	homicide_rate	
17019	Illinois	Champaign	homicide_rate	3
17021	Illinois	Christian	homicide_rate	
17023	Illinois	Clark	homicide_rate	
17025	Illinois	Clay	homicide_rate	
17027	Illinois	Clinton	homicide_rate	
17029	Illinois	Coles	homicide_rate	3
17031	Illinois	Cook	homicide_rate	12
17033	Illinois	Crawford	homicide_rate	
17035	Illinois	Cumberland	homicide_rate	
17037	Illinois	DeKalb	homicide_rate	
17039	Illinois	De Witt	homicide_rate	
17041	Illinois	Douglas	homicide_rate	
17043	Illinois	DuPage	homicide_rate	1
17045	Illinois	Edgar	homicide_rate	
17047	Illinois	Edwards	homicide_rate	
17049	Illinois	Effingham	homicide_rate	
17051	Illinois	Fayette	homicide_rate	
17053	Illinois	Ford	homicide_rate	
17055	Illinois	Franklin	homicide_rate	
17057	Illinois	Fulton	homicide_rate	
17059	Illinois	Gallatin	homicide_rate	
17061	Illinois	Greene	homicide_rate	
17063	Illinois	Grundy	homicide_rate	
17065	Illinois	Hamilton	homicide_rate	
17067	Illinois	Hancock	homicide_rate	
17069	Illinois	Hardin	homicide_rate	
17071	Illinois	Henderson	homicide_rate	
17073	Illinois	Henry	homicide_rate	
17075	Illinois	Iroquois	homicide_rate	6
17077	Illinois	Jackson	homicide_rate	
17079	Illinois	Jasper	homicide_rate	
17081	Illinois	Jefferson	homicide_rate	4
17083	Illinois	Jersey	homicide_rate	
17085	Illinois	Jo Daviess	homicide_rate	
17087	Illinois	Johnson	homicide_rate	
17089	Illinois	Kane	homicide_rate	3
17091	Illinois	Kankakee	homicide_rate	4
17093	Illinois	Kendall	homicide_rate	3
17095	Illinois	Knox	homicide_rate	
17097	Illinois	Lake	homicide_rate	3
17099	Illinois	LaSalle	homicide_rate	1
17101	Illinois	Lawrence	homicide_rate	
17103	Illinois	Lee	homicide_rate	
17105	Illinois	Livingston	homicide_rate	
