FIPS	State	County	Variable	rec_facility_rate
12033	Florida	Escambia	rec_facility_rate	7.7
12035	Florida	Flagler	rec_facility_rate	5.2
12037	Florida	Franklin	rec_facility_rate	8.6
12039	Florida	Gadsden	rec_facility_rate	0
12041	Florida	Gilchrist	rec_facility_rate	0
12043	Florida	Glades	rec_facility_rate	0
12045	Florida	Gulf	rec_facility_rate	0
12047	Florida	Hamilton	rec_facility_rate	0
12049	Florida	Hardee	rec_facility_rate	3.6
12051	Florida	Hendry	rec_facility_rate	5.1
12053	Florida	Hernando	rec_facility_rate	8.1
12055	Florida	Highlands	rec_facility_rate	8.1
12057	Florida	Hillsborough	rec_facility_rate	9
12059	Florida	Holmes	rec_facility_rate	0
12061	Florida	Indian River	rec_facility_rate	10.1
12063	Florida	Jackson	rec_facility_rate	2
12065	Florida	Jefferson	rec_facility_rate	6.8
12067	Florida	Lafayette	rec_facility_rate	0
12069	Florida	Lake	rec_facility_rate	6.4
12071	Florida	Lee	rec_facility_rate	6.9
12073	Florida	Leon	rec_facility_rate	10.5
12075	Florida	Levy	rec_facility_rate	7.4
12077	Florida	Liberty	rec_facility_rate	0
12079	Florida	Madison	rec_facility_rate	10.4
12081	Florida	Manatee	rec_facility_rate	8
12083	Florida	Marion	rec_facility_rate	6
12085	Florida	Martin	rec_facility_rate	16.4
12086	Florida	Miami-Dade	rec_facility_rate	8.1
12087	Florida	Monroe	rec_facility_rate	19.1
12089	Florida	Nassau	rec_facility_rate	16.3
12091	Florida	Okaloosa	rec_facility_rate	12.2
12093	Florida	Okeechobee	rec_facility_rate	5
12095	Florida	Orange	rec_facility_rate	6.9
12097	Florida	Osceola	rec_facility_rate	3.3
12099	Florida	Palm Beach	rec_facility_rate	10.9
12101	Florida	Pasco	rec_facility_rate	6
12103	Florida	Pinellas	rec_facility_rate	12.8
12105	Florida	Polk	rec_facility_rate	5.5
12107	Florida	Putnam	rec_facility_rate	8.1
12109	Florida	St. Johns	rec_facility_rate	11.5
12111	Florida	St. Lucie	rec_facility_rate	6.8
12113	Florida	Santa Rosa	rec_facility_rate	9.2
12115	Florida	Sarasota	rec_facility_rate	13.2
12117	Florida	Seminole	rec_facility_rate	11.3
12119	Florida	Sumter	rec_facility_rate	2.1
12121	Florida	Suwannee	rec_facility_rate	4.8
12123	Florida	Taylor	rec_facility_rate	8.9
12125	Florida	Union	rec_facility_rate	0
12127	Florida	Volusia	rec_facility_rate	10.5
12129	Florida	Wakulla	rec_facility_rate	9.7
12131	Florida	Walton	rec_facility_rate	10.8
12133	Florida	Washington	rec_facility_rate	0
13001	Georgia	Appling	rec_facility_rate	5.5
13003	Georgia	Atkinson	rec_facility_rate	0
13005	Georgia	Bacon	rec_facility_rate	9
13007	Georgia	Baker	rec_facility_rate	0
13009	Georgia	Baldwin	rec_facility_rate	11.1
13011	Georgia	Banks	rec_facility_rate	16.3
13013	Georgia	Barrow	rec_facility_rate	5.7
13015	Georgia	Bartow	rec_facility_rate	6
