Latitude,Longitude,BactRelAbundance,FirmRelAbundance
33.0023708,-96.7679206,0.555,0.4134
43.0513668,-76.1841701,0.5768,0.409
37.7813454,-122.497668,0.1242,0.8331
47.1589319,-67.9319683,0.4352,0.4044
41.8771,-87.9776,0.3267,0.5508
37.8983665,-122.2795667,0.3813,0.5508
38.6682669,-90.3230807,0.7727,0.2019
42.6679,-83.1327,0.7982,0.1855
38.7871,-77.1198,0.4889,0.445
33.3651,-111.75,0.2378,0.5171
39.7698,-105.015,0.8201,0.1664
39.2228,-121.16,0.5523,0.415
47.5746,-122.405,0.2532,0.7426
42.0655,-87.9874,0.7932,0.1885
29.7581,-81.3179,0.224,0.6687
32.4606,-110.975,0.7166,0.2762
